Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company Age,Min Salary,Max Salary,Avg Salary
USGAAP Financial and Reference Data Control Analyst Analyst,40-72 ,3.5,Deutsche Bank,"Jacksonville, FL","Frankfurt am Main, Germany",10000+ employees,1870,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,156.0,40.0,72,56.0
Business/Data Analyst,40-72 ,3.7,Software Guidance & Assistance,"Jacksonville, FL","Tarrytown, NY",51 to 200 employees,1981,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,45.0,40.0,72,56.0
Junior Data Analyst,40-72 ,5.0,"Staffigo Technical Services, LLC","Jacksonville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,18.0,40.0,72,56.0
Business/Data Analyst,40-72 ,-1.0,SGA Inc.,"Jacksonville, FL","Bethesda, MD",1 to 50 employees,1996,Company - Private,Architectural & Engineering Services,Business Services,$1 to $5 million (USD),-1,-1,30.0,40.0,72,56.0
Data Analyst,40-72 ,3.5,SNI Technology,"Jacksonville, FL","Des Moines, IA",201 to 500 employees,1998,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,28.0,40.0,72,56.0
"Assistant Vice President, Anti Financial Crime Data Quality Analyst - {KP4457495}",40-72 ,3.5,Deutsche Bank,"Jacksonville, FL","Frankfurt am Main, Germany",10000+ employees,1870,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,156.0,40.0,72,56.0
Senior Data Analyst,40-72 ,3.9,BTG,"Jacksonville, FL","Eclepens, Switzerland",1 to 50 employees,1921,Company - Public,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,105.0,40.0,72,56.0
Data Analyst,40-72 ,5.0,"Staffigo Technical Services, LLC","Jacksonville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,18.0,40.0,72,56.0
"Assistant Vice President, Anti Financial Crime Data Quality Analyst",40-72 ,3.5,Deutsche Bank,"Jacksonville, FL","Frankfurt am Main, Germany",10000+ employees,1870,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,156.0,40.0,72,56.0
Data Analyst Junior,40-72 ,5.0,"Staffigo Technical Services, LLC","Jacksonville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,18.0,40.0,72,56.0
CDHP - Data Analyst Team Lead,40-72 ,-1.0,Medical Cost Containment Services Inc.,"Jacksonville, FL",-1,-1,-1,-1,-1,-1,-1,-1,-1,,40.0,72,56.0
Power BI Data Analyst,40-72 ,-1.0,LEFTA Systems,"Jacksonville, FL",-1,-1,-1,-1,-1,-1,-1,-1,-1,,40.0,72,56.0
Sr. Data Analyst - Guidewire Data Hub,40-72 ,2.9,Kemper,"Jacksonville, FL","Chicago, IL",5001 to 10000 employees,1990,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1,36.0,40.0,72,56.0
Senior Data Analyst- Guidewire Data Hub,40-72 ,5.0,ARC Group,"Jacksonville, FL","Burbank, CA",51 to 200 employees,-1,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,,40.0,72,56.0
Guidewire Data Analyst,40-72 ,5.0,American Recruiting & Consulting Group,"Jacksonville, FL","Fort Lauderdale, FL",51 to 200 employees,1982,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,44.0,40.0,72,56.0
System Analyst (Data) - PL/SQl Server,40-72 ,3.9,Diverse Lynx,"Jacksonville, FL","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,24.0,40.0,72,56.0
ACA - Data Analyst,40-72 ,-1.0,Medical Cost Containment Services Inc.,"Jacksonville, FL",-1,-1,-1,-1,-1,-1,-1,-1,-1,,40.0,72,56.0
"Data Analyst, Military Forecasting",50-86 ,3.3,Textron,"Fort Worth, TX","Providence, RI",10000+ employees,1923,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,-1,103.0,50.0,86,68.0
Human Performance Data Analyst,50-86 ,4.6,Reef Systems,"Fort Worth, TX","Cary, NC",1 to 50 employees,-1,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1,,50.0,86,68.0
